Module                  Size  Used by
gz_trusty_mod          40960  6 gz_virtio_mod,gz_irq_mod,gz_main_mod,gz_log_mod,gz_tz_system,gz_ipc_mod
sensorHub              86016  18 uncali_maghub,uncali_acchub,orienthub,linearacchub,gravityhub,gmagrotvechub,gamerotvechub,rotatvechub,tyhx_sensorhub_test,saralgo,saralgo_top,situationhub,stepsignhub,barohub,alspshub,maghub,accelhub,sensor_list
scp                   126976  2 ccci_fsm_scp,sensorHub
situation              28672  6 sensor_probe,saralgo,saralgo_top,situationhub,scp
mtk_dvfsrc_helper     122880  2 mtk_perf_common,scp
MTK_INTERNAL_SPM      282624  3 snd_soc_mt6768_afe,mcdi,scp
thermal_monitor       667648  3 mediatek_eem,MTK_INTERNAL_SPM
ccci_md_all           589824  43 c2k_usb,ccci_cldma,ccci_ccif,ccci_fsm_scp,snd_soc_mtk_common,MTK_INTERNAL_SPM,thermal_monitor,[permanent]
ccmni                  40960  1 ccci_md_all
rps_perf               16384  2 mtk_u_ether,ccmni
ccci_auxadc            16384  1 ccci_md_all,[permanent]
ccci_util_lib         139264  24 ccci_cldma,ccci_ccif,ccci_fsm_scp,ccci_rtc,ccci_md_clk,snd_soc_mtk_common,ccci_md_all,ccci_auxadc,[permanent]
mtk_gpufreq_mt6768     69632  3 mediatek_eem,mali_kbase_mt6768,thermal_monitor
mtk_gpufreq_wrapper    81920  4 mali_kbase_mt6768,ged,thermal_monitor,mtk_gpufreq_mt6768
mtk_pbm                36864  2 flashlight,mtk_gpufreq_wrapper
mtk_mdpm_v1            28672  2 MTK_INTERNAL_SPM,mtk_pbm
mtk_dynamic_loading_throttling    20480  1 mtk_pbm
imgsensor_isp4        245760  1 thermal_monitor
connadp                49152  3 wlan_drv_gen4m,wmt_drv,thermal_monitor
mtk_ppm_v3            159744  4 musb_boost,mediatek_eem,CPU_DVFS,thermal_monitor
Upower                 65536  3 cpufreq_sugov_ext,mediatek_eem,mtk_ppm_v3
sspm_v1                65536  8 mtk_cm_mgr,mtk_qos_legacy,CPU_DVFS,fhctl,mcdi,mtk_dvfsrc_helper,MTK_INTERNAL_SPM,Upower
mediatek_static_power    49152  2 mtk_gpufreq_mt6768,Upower
mtk_low_battery_throttling    16384  5 flashlight,mtk_cpu_power_throttling,mtk_gpufreq_wrapper,mtk_dynamic_loading_throttling,mtk_ppm_v3
mtk_battery_oc_throttling    24576  4 flashlight,mtk_cpu_power_throttling,mtk_gpufreq_wrapper,mtk_ppm_v3
mtk_bp_thl             20480  3 flashlight,mtk_gpufreq_wrapper,mtk_ppm_v3
mtk_power_gs_v1        45056  1 MTK_INTERNAL_SPM
hwmon                  45056  15 fusion,step_counter,baro_common,alsps_common,mag_common,accel_common,situation
mtk_irtx_pwm           28672  0 [permanent]
mtk_pwm                86016  1 mtk_irtx_pwm
cache_parity           28672  0 
mtk_cqdma              36864  0 
mtk_tinysys_ipi        28672  0 
mtk_rpmsg_mbox         20480  1 mtk_tinysys_ipi
mtk_mbox               36864  2 mtk_tinysys_ipi,mtk_rpmsg_mbox
rtc_mt6397             36864  1 
sec                    94208  0 
snd_soc_sipa_tuning    24576  0 
snd_soc_sipa           98304  4 mt6768_mt6358,snd_soc_sipa_tuning
mt6358_accdet          45056  2 mt6768_mt6358,snd_soc_mt6358
mtk_pm_domain_disable_unused    16384  0 
gt1151                131072  0 
gt9886                122880  0 
trace_mmstat           36864  0 
mtk_gpu_hal            49152  7 mtk_fpsgo,mali_kbase_mt6768,ged,thermal_monitor,mtk_gpufreq_mt6768,mtk_gpufreq_wrapper,trace_mmstat
zram                   65536  1 
zsmalloc               57344  1 zram
reset_ti_syscon        16384  0 
mtk_socinfo            16384  0 
aee_rs                 20480  0 
virtual_dsi_vdo_default    77824  0 
dsi_panel_n85_47_02_0b_90_thinning_vdo   282624  1 nt36523d_spi
dsi_panel_n85_47_02_0b_90_vdo   282624  1 nt36523d_spi
dsi_panel_n85_47_02_0b_60_vdo   225280  1 nt36523d_spi
dsi_panel_n85_46_0f_0c_90_thinning_vdo   274432  1 icnl9951r_spi
dsi_panel_n85_46_0f_0c_90_vdo   270336  1 icnl9951r_spi
dsi_panel_n85_46_0f_0c_60_vdo   212992  1 icnl9951r_spi
dsi_panel_n85_35_02_0a_90_thinning_vdo   282624  1 nt36523d_spi
dsi_panel_n85_35_02_0a_90_vdo   282624  1 nt36523d_spi
dsi_panel_n85_35_02_0a_60_vdo   225280  1 nt36523d_spi
mmqos_mt6768           16384  0 
mt6577_auxadc          32768  0 
extcon_mtk_usb         20480  0 
